

 ********* 2018-05-06 18:50:41 Duration: 00:00:15 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
         0          47          47          47          1  cwl_interface_controller.TmfRestListenerController.parseQuerystring
         0          45          45          45          1  cwt_do.api.orderClassUI.updateItemsAndOrderState
         0          41          41          41          1  api_common.getStructure
         0          40          40          40          1  on.service.setCatalogContextAttrs
         0          17          27           7          2  cwt_do.ClsDataOrderHelperUI.updateSites
         0          17          23          11          2  cwt_do.ClsDataOrderHelperUI.bindCatalog
         0          16          22          10          2  cwl_on.validateField
         0          32          32          32          1  eoc_commons.validateRelatedPartyHandler
         0          31          31          31          1  cwl_fullStack.onResourceValidationExHandler
         0           7          12           2          4  cwt_do._getSiteVisualKey
         0          28          28          28          1  cwt_do.api.orderClassUI.setBasketContext
         0          28          28          28          1  cwt_do.api.validateOrderHandler
         0          26          26          26          1  cwt_do.setDefaultRelatedObjects
         0          12          17           7          2  eoc_commons.validateEnum
         0          25          25          25          1  cwl_on.lockOrUnlockON
         0           4           7           2          5  api_common.setContext
         0          24          24          24          1  cwl_interface_controller.TmfRestListenerController.onResponseOut
         0          24          24          24          1  cwt_do.ClsDataOrderHelperUI.setBasketContext
         0          22          22          22          1  dataorder.service.getOrderNextState
         0           7           9           6          3  cwt_do.api.mapOrder2OrderInstanceDoc.attrs--1024322927.cwOnItemConversion
         0          20          20          20          1  cwl_on.setHttpLocationHeader
         0          10          12           7          2  api_common.getStructureType
         0          18          18          18          1  cwl_on.setNewOrderStates
         0          18          18          18          1  cwt_do.api.orderClassFactory
         0          18          18          18          1  cwt_do.api.orderClassUI.getBasketContext
         0           6          10           3          3  cwt_do.api.orderClassUI.setArrayField
         0           6           7           5          3  cwt_do.api.mapOrder2OrderInstanceDoc.createdBy-1080670400.cwOnItemConversion
         0          17          17          17          1  cwl_on.setOrderCatalogTime
         0          14          14          14          1  cwt_do.api.getOrderNextStateCore
         0          14          14          14          1  cwl_on.setCustomerMSISDN
         0          13          13          13          1  on.service.validateResponse
         0           6          10           3          2  cwt_do.ClsDataOrderHelperUI.updateAccounts
         0          12          12          12          1  cwl_interface_controller.TmfRestListenerController.parseDynamicValues
         0           4           4           3          3  cwt_do.api.mapOrder2OrderInstanceDoc.ordVer--1304809197.cwOnItemConversion
         0           4           4           3          3  cwt_do.api.mapOrder2OrderInstanceDoc.relatedOrders--1406557411.cwOnItemConversion
         0           5           7           4          2  cwtsr_cacheLib.createProductsBuffer
         0          11          11          11          1  api_common.getModelType
         0           1           2           0         10  api_common.data.object.getCacheableList
         0           2           3           1          4  security.data.userProfile.cwGetStructId
         0           4           8           1          2  cwa_security.userOnInit.Rule3.initializationRuleScript
         0           7           7           7          1  cwl_fullStack.isCBIOFeatureEnabled
         0           5           5           5          1  cwl_on.mapONRequestSC2DataOrder.isLocked-1478652886.cwOnItemConversion
         0           1           1           0          4  api_common.data.object.computeVisualKey
         0           4           4           4          1  on.service.process_response
         0           1           1           1          3  com.conceptwave.system.UserInterface.onInit
         0           4           4           4          1  cwt_do.getEocOrderPersistanceHandling
         0           1           2           0          2  cwa_security.userOnInit.Rule4.initializationRuleScript
         0           2           2           2          1  cwl_interface_controller.TmfRestListenerController.isApplyFilter
         0           2           2           2          1  cwl_on.mapONRequestSC2DataOrder.isBundled-1574160069.cwOnItemConversion
         0           2           2           2          1  cwInit.cwInterfaceDataCacheLoader
         0           2           2           2          1  cwl_on.setCatalogContextOnSCResponse
         0           1           1           1          1  cwl_on.expandEntity
         0           0           1           0          2  cwa_security.userOnInit.Rule1.initializationRuleScript
         0           0           1           0          2  cwa_security.userOnInit.Rule2.initializationRuleScript
         0           1           1           1          1  cwl_interface_controller.TmfRestListenerController.onPostOut
         0           1           1           1          1  cwl_interface_controller.TmfRestListenerController.onPostIn
    -----------------------------------------------------
    75,636         345   9,576,562           0    218,628


 ********* 2018-05-06 18:50:41 Duration: 00:00:15 *********
---------- SCRIPT CALL STACKS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
     9,576   9,576,562   9,576,562   9,576,562          1  on.service.onapiJSBinding/createShoppingCart.cwOnJsProvider
     9,568   9,568,983   9,568,983   9,568,983          1  . on.service.createShoppingCart
     9,568   9,568,936   9,568,936   9,568,936          1  . . cwl_on.createShoppingCart
     8,222      54,455     124,441      27,614        151  . . . dataorder.service.addOrderItem
     8,219      54,433     124,420      27,590        151  . . . . cwt_do.api.addOrderItemHandler
     8,214      54,397     124,387      27,548        151  . . . . . cwt_do.api.orderClassUI.addOrderItem
     4,343      28,764      62,932          11        151  . . . . . . cwt_do.api.orderClassUI.createItemRelations
     4,189      27,928      61,887      11,493        150  . . . . . . . cwt_do.ClsDataOrderHelperUI.saveBasket
       125         419       1,153          76        300  . . . . . . . cwt_do.refreshPOAfterCreateOIRelation
         9          61         152          48        150  . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         2           9          19           5        300  . . . . . . . . cwt_do.fixItemRelationId
         7          49         150          35        150  . . . . . . . cwt_do.api.orderClassUI.existsTargetRelation
         5          39          77          28        150  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
         2          15          34          12        150  . . . . . . . . . cwt_do.fixItemRelationId
         0           3           9           2        150  . . . . . . . . . cwt_do.getEocRelationsHandling
         1           7          14           4        150  . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectById
     2,494      16,518      75,964       1,307        151  . . . . . . cwt_do.ClsDataOrderHelperUI.priceBasket
       791       5,243      24,408       3,755        151  . . . . . . cwt_do.api.orderClassUI.addProductOfferingToOrder
       757       5,016      24,191       3,584        151  . . . . . . . cwt_do.api.orderClassUI.addPOtoOrder
       742       4,913      23,931       3,510        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.addItem
       702       4,654      22,388       3,295        151  . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addBasketItem
       281         181       1,256          55      1,550  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
        31          10          84           5      3,100  . . . . . . . . . . . cwt_do.fixItemRelationId
       101          50         197          31      2,023  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
        97          48         195          30      2,023  . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalType
        73          36         166          21      2,023  . . . . . . . . . . . . eoc_commons.getBaseCatalogItemType
         9           4          69           2      2,023  . . . . . . . . . . . . . eoc_commons.Constants
         5           2          13           1      2,023  . . . . . . . . . . . . cwt_do.getLogicalItemType
         2           1         123           0      2,023  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getConfig
        43          69         662          51        624  . . . . . . . . . . cwt_do.addIncludeRelation
        37          60         650          44        624  . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
        13          10         105           5      1,248  . . . . . . . . . . . . cwt_do.fixItemRelationId
        39          50         175          19        775  . . . . . . . . . . cwt_do.getOwnertPO
        14           6         115           0      2,082  . . . . . . . . . . . eoc_commons.checkBaseCatalogItemType
        12          16         101          10        775  . . . . . . . . . . . cwt_do.getClsCatalogTypes
        23          37          74          27        624  . . . . . . . . . . eoc_commons.getBaseCatalogItemType
         3           5          21           4        624  . . . . . . . . . . . eoc_commons.Constants
